! NanoVNA-App
! Date: 2024-06-24 16:41:53
! Start: 1.00MHz  Stop: 2.00GHz  Points: 301
! S-Parameter data: F S11
# Hz S RI R 50
Frequency           S11_Real           S11_Imag           S21_Real           S21_Imag           S12_Real           S12_Imag           S22_Real           S22_Imag
1.47000000E+2      2.74987992E-2      9.98754791E-1      9.95071233E-1      6.91473819E-1      8.20712922E-1      4.84449297E-1      1.47940158E-1      2.58829426E-1
1.48000000E+2      3.37264970E-1      4.39543793E-1      8.78381944E-1      7.83988329E-2      8.23698350E-1      8.72990422E-1      7.66354055E-1      5.92714346E-1
1.49000000E+2      7.67855004E-1      5.81035342E-1      6.79964562E-1      3.93209825E-1      1.66439346E-1      8.99560365E-1      9.52064291E-1      6.93467776E-1
1.50000000E+2      4.47748561E-1      3.14054584E-1      3.69927389E-1      1.66221903E-1      3.54176822E-1      8.71462068E-1      5.17574013E-3      1.45864678E-1
1.51000000E+2      2.59083662E-1      7.60829054E-2      7.78385231E-1      4.20049261E-1      9.97132466E-1      8.55852712E-1      6.01277941E-1      8.88529684E-1
1.52000000E+2      2.44228431E-1      4.86444741E-1      5.48655700E-1      2.29999555E-2      8.14967480E-1      4.61931631E-1      9.68571930E-1      8.95667154E-1
1.53000000E+2      6.67800645E-1      8.81619204E-1      6.95441161E-1      4.03048532E-1      8.99754583E-1      5.84790691E-2      4.81560282E-1      9.88781550E-2
1.54000000E+2      4.96622516E-2      9.35277146E-1      8.76564885E-1      2.69917740E-1      2.10069962E-1      2.29568845E-1      7.28386905E-1      9.73289840E-1
1.55000000E+2      5.90787504E-1      5.61447098E-1      6.36745374E-1      9.41752932E-1      4.92891635E-1      4.98568250E-1      6.23774860E-1      1.03301668E-1
1.56000000E+2      5.39809592E-1      9.26493114E-1      2.46378698E-1      1.78907353E-1      9.99275119E-1      2.12063849E-1      1.13280704E-1      7.92603001E-1
1.57000000E+2      1.05621093E-1      1.71065908E-1      3.04343471E-1      8.27815308E-1      3.98680188E-1      7.93665756E-1      9.96570153E-1      9.08453679E-1
1.58000000E+2      1.56399961E-1      8.73865187E-1      6.33597883E-1      8.90124123E-1      4.04483918E-3      6.76546906E-1      2.79655096E-1      7.88671992E-1
1.59000000E+2      4.94503719E-1      6.79730204E-1      7.64660106E-1      9.38671725E-1      6.19153457E-1      8.46682896E-1      3.85228378E-1      9.26569421E-1
1.60000000E+2      6.53588644E-1      8.83729448E-1      3.25461878E-1      7.24792173E-1      6.92440975E-1      8.28329408E-1      3.45489708E-1      1.81130726E-1
1.61000000E+2      4.96567734E-1      9.49900986E-1      2.09025810E-1      8.75551544E-1      2.00359500E-1      8.06278194E-1      8.96525360E-1      9.03579828E-1
1.62000000E+2      9.94176224E-3      9.95332599E-1      1.78551606E-1      1.11439198E-1      5.27010715E-1      2.53707652E-1      1.66985506E-1      5.54559645E-1
1.63000000E+2      5.49202634E-1      9.78265726E-1      8.42666907E-1      8.93567726E-1      9.91661117E-1      9.91825819E-1      2.75937627E-2      5.35598516E-1
1.64000000E+2      1.60798320E-1      2.09149873E-1      7.92926105E-1      4.74977339E-1      8.03776560E-1      2.86478977E-1      5.11705740E-1      9.63103543E-1
1.65000000E+2      5.44951504E-1      6.75940921E-1      5.16182497E-1      5.63104556E-1      4.95109479E-1      4.29608269E-1      1.36535961E-1      7.05520974E-1
1.66000000E+2      1.47642285E-1      4.75411552E-1      9.80563942E-1      2.83455953E-1      3.55350514E-1      6.48655553E-1      1.09001646E-1      5.67410393E-1
1.67000000E+2      5.35221833E-1      7.29681792E-1      7.12173921E-1      4.47905056E-1      2.52380884E-1      5.52169424E-3      8.80185620E-1      6.10591712E-1
1.68000000E+2      4.10056202E-1      9.16811557E-1      4.49676740E-1      7.54263669E-1      6.14115873E-1      9.97654581E-1      9.57579909E-1      9.51641715E-1
