[metadata]
software = "LabVIEW"
date = "! Date: 2024-03-18 17:46:33"
config info = "! Start: 2GHz Stop: 3.2GHz Points: 65535"
signal name = "! S-Parameter data: F S11"
info = "# Hz S RI R 50"
signals = "Frequency           S11_Real           S11_Imag"
sdsad = "Frequency           S11_Real           S11_Imag"
Hz	S11_Real	S11_imag
88	0.873184	0.817185
89	0.279296	0.556184
90	0.872722	0.298368
91	0.978982	0.014205
92	0.219700	0.741687
93	0.617674	0.718631
94	0.158962	0.039571
95	0.126392	0.791203
96	0.970928	0.024642
97	0.483727	0.674207
98	0.204773	0.990127
99	0.329448	0.093937
100	0.831485	0.223092
101	0.968378	0.583727
102	0.214389	0.547948
103	0.776532	0.477658
104	0.650427	0.532026
105	0.235428	0.639373
106	0.994478	0.431728
107	0.246577	0.290239
108	0.493767	0.734305
109	0.660784	0.598613
110	0.592201	0.954664
111	0.675932	0.035571
112	0.755454	0.302689
113	0.965849	0.396645
114	0.621573	0.198612
115	0.769341	0.043315
116	0.992530	0.956709
117	0.636782	0.271893
118	0.580215	0.018645
119	0.312682	0.836485
120	0.434092	0.762231
121	0.946765	0.412650
122	0.168337	0.527978
123	0.238610	0.418293
124	0.607811	0.587865
125	0.801712	0.124542
126	0.113839	0.373518
127	0.113941	0.500215
128	0.192855	0.390984
129	0.585552	0.751584
130	0.784298	0.749258
131	0.446115	0.818974
132	0.986724	0.207576
133	0.787075	0.798893
134	0.389193	0.183509
135	0.453315	0.079781
136	0.491559	0.907469
137	0.631361	0.125280
138	0.164829	0.144505
139	0.989710	0.947012
140	0.290630	0.880270
141	0.586896	0.000871
142	0.003343	0.044817
143	0.773619	0.686681
144	0.393663	0.788417
145	0.667087	0.023761
146	0.448689	0.360648
147	0.545680	0.321060
148	0.619376	0.762587
149	0.700781	0.631063
150	0.374292	0.384773
151	0.487728	0.392390
152	0.138613	0.693938
153	0.828050	0.184387
154	0.436837	0.799116
155	0.380289	0.221953
156	0.428111	0.369029
157	0.613720	0.792550
158	0.940492	0.427471
159	0.780301	0.300135
160	0.046158	0.247351
161	0.190618	0.046996
162	0.826934	0.385590
163	0.504823	0.734805
164	0.248865	0.781723
165	0.511697	0.790729
166	0.356565	0.733822
167	0.112524	0.430276
168	0.061921	0.178069
169	0.347678	0.037969
170	0.997856	0.834502
171	0.512312	0.898445
172	0.560944	0.007281
173	0.118073	0.069648
174	0.345967	0.149621
175	0.496246	0.053907
176	0.948505	0.745321
177	0.112506	0.476008
178	0.864460	0.304426
179	0.073426	0.882054
180	0.275967	0.422228
181	0.316568	0.626575
182	0.584507	0.103294
183	0.091413	0.785097
184	0.216506	0.551557
185	0.248105	0.194257
186	0.642678	0.470830
187	0.437320	0.045220
188	0.447861	0.755869
189	0.711880	0.001388
190	0.731101	0.808633
191	0.770813	0.799628
192	0.096042	0.105865
193	0.862816	0.967595
194	0.549387	0.018847
195	0.548950	0.613353
196	0.856249	0.576690
197	0.560308	0.034391
198	0.325921	0.006438
199	0.511597	0.172287
200	0.438370	0.916431
201	0.559265	0.113286
202	0.174641	0.620365
203	0.331844	0.050179
204	0.288630	0.880287
205	0.827747	0.003441
206	0.593498	0.148968
207	0.934504	0.607483
208	0.914980	0.229261
209	0.305264	0.351060
210	0.257597	0.357717
211	0.362302	0.601758
212	0.922794	0.936031
213	0.563319	0.486695
214	0.842428	0.648813
215	0.216114	0.967376
216	0.672013	0.810830
217	0.469961	0.635485
218	0.507758	0.685208
219	0.724492	0.856929
220	0.693515	0.980200
221	0.970746	0.035750
222	0.543120	0.934246
223	0.782186	0.841211
224	0.897284	0.808814
225	0.056002	0.407857
226	0.266362	0.074460
227	0.828857	0.377219
228	0.259770	0.374884
229	0.358811	0.656472
230	0.871719	0.753621
231	0.872183	0.767473
232	0.243600	0.343586
233	0.864809	0.626506
234	0.755791	0.210357
235	0.882479	0.485704
236	0.237971	0.944982
237	0.377597	0.952847
238	0.298925	0.686153
239	0.397845	0.405957
240	0.995472	0.620308
241	0.204513	0.536586
242	0.876113	0.505531
243	0.907588	0.276324
244	0.262606	0.257373
245	0.926904	0.196662
246	0.686467	0.484664
247	0.422465	0.746736
248	0.732805	0.829668
249	0.859563	0.227872
250	0.025565	0.158366
251	0.274888	0.871554
252	0.953530	0.926671
253	0.271825	0.501111
254	0.446031	0.632223
255	0.460080	0.384376
256	0.457942	0.055843
257	0.277805	0.753974
258	0.174280	0.517156
259	0.382979	0.956351
260	0.439276	0.695373
261	0.802587	0.914870
262	0.906111	0.868207
263	0.290794	0.387519
264	0.794360	0.181226
265	0.625114	0.168714
266	0.942236	0.068540
267	0.871075	0.299360
268	0.691534	0.037866
269	0.767920	0.863005
270	0.612075	0.254536
271	0.691109	0.551268
272	0.335922	0.658900
273	0.880396	0.168179
274	0.479827	0.368037
275	0.839717	0.062683
276	0.516773	0.381031
277	0.490026	0.864869
278	0.722717	0.272340
279	0.141570	0.616171
280	0.004849	0.356899
281	0.495990	0.581112
282	0.133659	0.114325
283	0.541992	0.993211
284	0.122532	0.884917
285	0.209379	0.533123
286	0.959285	0.869175
287	0.430901	0.888706
288	0.985541	0.327831
289	0.640420	0.643445
290	0.838834	0.360165
291	0.584613	0.800483
292	0.806155	0.706475
293	0.095732	0.628880
294	0.088587	0.528229
295	0.141799	0.228491
296	0.335596	0.978666
297	0.796702	0.997596
298	0.086728	0.169899
299	0.963657	0.487211
300	0.560486	0.921215
301	0.168921	0.940932
302	0.519933	0.551203
303	0.823977	0.294273
304	0.777364	0.407738
305	0.390141	0.918111
306	0.007956	0.742906
307	0.612454	0.481924
308	0.750009	0.458533
309	0.528216	0.212173
310	0.393977	0.574107
311	0.238182	0.576870
312	0.334443	0.279946
313	0.364250	0.450788
314	0.419136	0.418826
315	0.003651	0.169875
316	0.838686	0.998729
317	0.715866	0.160809
318	0.612117	0.982393
319	0.340092	0.548089
320	0.590087	0.861013
321	0.278405	0.539077
322	0.310735	0.004708
323	0.790773	0.594250
324	0.591019	0.647397
325	0.458400	0.874512
326	0.074591	0.001889
327	0.721391	0.342817
328	0.329981	0.795530
329	0.745437	0.567513
330	0.762817	0.510412
331	0.684069	0.301656
332	0.952252	0.386415
333	0.159414	0.051362
334	0.205929	0.516894
335	0.707491	0.934695
336	0.291198	0.369600
337	0.276895	0.823591
338	0.370316	0.697572
339	0.964332	0.082585
340	0.837853	0.022887
341	0.638040	0.655256
342	0.251720	0.686550
343	0.312108	0.076013
344	0.618578	0.923736
345	0.531598	0.507412
346	0.209436	0.899204
347	0.933039	0.962233
348	0.617611	0.547107
349	0.138055	0.990853
350	0.617062	0.589293
351	0.375931	0.063552
352	0.619858	0.223680
353	0.956117	0.662740
354	0.356621	0.915981
355	0.654013	0.952569
356	0.768890	0.024916
357	0.436736	0.813998
358	0.812427	0.300353
359	0.284880	0.851561
360	0.892239	0.449871
361	0.093600	0.147580
362	0.289135	0.624785
363	0.267318	0.366018
364	0.883975	0.105351
365	0.789857	0.029167
366	0.980184	0.134745
367	0.339995	0.814203
368	0.889192	0.763346
369	0.469740	0.120890
370	0.467856	0.558669
371	0.424494	0.835504
372	0.691163	0.796981
373	0.096672	0.052779
374	0.667282	0.485209
375	0.416653	0.548743
376	0.349754	0.679982
377	0.843075	0.392895
378	0.152378	0.155588
379	0.541822	0.016451
380	0.901102	0.893621
381	0.575390	0.463346
382	0.613747	0.451750
383	0.556138	0.759545
384	0.734478	0.635255
385	0.586188	0.966535
386	0.159569	0.769985
387	0.839419	0.853460
388	0.192009	0.478853
389	0.860106	0.963583
390	0.182549	0.826735
391	0.172100	0.201590
392	0.013791	0.512179
393	0.730138	0.666235
394	0.329276	0.157918
395	0.708646	0.831521
396	0.549626	0.901204
397	0.148426	0.184096
398	0.324445	0.720131
399	0.188958	0.179533
400	0.385206	0.612081
401	0.926800	0.008458
402	0.449811	0.563424
403	0.082337	0.356956
404	0.664080	0.765103
405	0.953776	0.994405
406	0.344299	0.651976
407	0.455360	0.036616
408	0.032367	0.589523
409	0.562165	0.969062
410	0.351959	0.015870
411	0.212217	0.614944
412	0.954825	0.490658
413	0.344007	0.421543
414	0.141508	0.413697
415	0.072239	0.892960
416	0.223512	0.702064
417	0.986465	0.461444
418	0.610883	0.852866
419	0.709244	0.694274
420	0.657305	0.082684
421	0.456628	0.805954
422	0.148218	0.433163
423	0.545389	0.981460
424	0.584875	0.375801
425	0.769446	0.396043
426	0.974735	0.629419
427	0.468723	0.802439
428	0.665416	0.894940
429	0.029578	0.933194
430	0.674761	0.622826
431	0.142242	0.905913
432	0.510041	0.408073
433	0.472519	0.642580
434	0.008143	0.801272
435	0.901043	0.500370
436	0.623668	0.795354
437	0.228518	0.964717
438	0.332848	0.457473
439	0.763795	0.614969
440	0.539407	0.532257
441	0.759880	0.961299
442	0.122939	0.414190
443	0.843416	0.938908
444	0.567959	0.510728
445	0.213605	0.747612
446	0.511905	0.840856
447	0.850097	0.856110
448	0.001826	0.727164
449	0.408142	0.711220
450	0.740990	0.694776
451	0.796641	0.733318
452	0.103983	0.891675
453	0.762049	0.228509
454	0.945328	0.949704
455	0.397910	0.021608
456	0.717531	0.372460
457	0.529892	0.878833
458	0.467393	0.262310
459	0.735519	0.354032
460	0.786281	0.926921
461	0.601304	0.848953
462	0.497709	0.162355
463	0.331618	0.647675
464	0.448515	0.105721
465	0.021809	0.839767
466	0.983220	0.914344
467	0.664420	0.492902
468	0.035431	0.750307
469	0.355309	0.391042
470	0.943705	0.080231
471	0.247970	0.017844
472	0.678068	0.592180
473	0.900189	0.804466
474	0.611174	0.597350
475	0.458393	0.721577
476	0.358378	0.536269
477	0.286010	0.906261
478	0.335974	0.501995
479	0.724368	0.461552
480	0.415721	0.319986
481	0.757354	0.122625
482	0.530607	0.057927
483	0.076502	0.311233
484	0.054371	0.366325
485	0.397160	0.515981
486	0.967305	0.547373
487	0.730618	0.050861
488	0.836191	0.544653
489	0.297483	0.842715
490	0.139753	0.356533
491	0.417345	0.667516
492	0.945930	0.357963
493	0.720625	0.251631
494	0.078434	0.050630
495	0.368586	0.723026
496	0.651503	0.698414
497	0.108925	0.352011
498	0.832865	0.388048
499	0.198956	0.569837
500	0.978047	0.151006
501	0.861389	0.599757
502	0.541164	0.259420
503	0.032630	0.546870
504	0.567043	0.183394
505	0.655355	0.270328
506	0.682204	0.704667
507	0.747461	0.437238
508	0.108529	0.762797
509	0.585190	0.266935
510	0.185327	0.303027
511	0.364273	0.884204
512	0.151178	0.035774
513	0.336526	0.450206
514	0.723353	0.584170
515	0.912887	0.261668
516	0.980074	0.109391
517	0.617959	0.695407
518	0.323298	0.922164
519	0.852147	0.595934
520	0.047468	0.783635
521	0.575370	0.799110
522	0.360052	0.337937
523	0.709543	0.610625
524	0.218308	0.416554
525	0.942129	0.537629
526	0.063351	0.530527
527	0.153379	0.399687
528	0.629887	0.277166
529	0.536463	0.238848
530	0.021396	0.110531
531	0.651204	0.657623
532	0.156439	0.827853
533	0.979133	0.674188
534	0.416614	0.729620
535	0.265439	0.902070
536	0.472243	0.531598
537	0.846261	0.307098
538	0.389131	0.728124
539	0.792524	0.660788
540	0.814733	0.223920
541	0.657849	0.350684
542	0.776720	0.190549
543	0.774025	0.696351
544	0.382429	0.042482
545	0.240065	0.002276
546	0.392526	0.874977
547	0.826565	0.556241
548	0.676714	0.170585
549	0.850649	0.468474
550	0.826575	0.003947
551	0.171054	0.837827
552	0.699061	0.669604
553	0.991022	0.236609
554	0.607327	0.822113
555	0.871897	0.357423
556	0.569926	0.487244
557	0.549963	0.334780
558	0.801038	0.318235
559	0.102763	0.349355
560	0.709589	0.661635
561	0.346822	0.907086
562	0.695515	0.607822
563	0.020596	0.533684
564	0.774491	0.560402
565	0.620334	0.536093
566	0.023622	0.884966
567	0.615906	0.506100
568	0.411807	0.967818
569	0.750531	0.406009
570	0.449252	0.560637
571	0.131409	0.188071
572	0.752258	0.970740
573	0.186686	0.459591
574	0.040700	0.340492
575	0.334142	0.043736
576	0.184723	0.560022
577	0.767927	0.039205
578	0.899236	0.097525
579	0.072259	0.850644
580	0.609101	0.639374
581	0.752285	0.048619
582	0.311337	0.434872
583	0.169835	0.043601
584	0.192042	0.422901
585	0.117580	0.913301
586	0.272167	0.368607
587	0.966094	0.940066
588	0.006097	0.346086
589	0.018914	0.768005
590	0.474175	0.717983
591	0.380143	0.554784
592	0.057735	0.826759
593	0.292426	0.470461
594	0.437595	0.946595
595	0.597211	0.273229
596	0.816795	0.069997
597	0.884005	0.654063
598	0.557343	0.242617
599	0.389623	0.664935
600	0.315459	0.713765
601	0.437632	0.851956
602	0.301581	0.348865
603	0.615833	0.407775
604	0.007745	0.986643
605	0.224626	0.534997
606	0.887798	0.217881
607	0.319556	0.203881
608	0.532166	0.459504
609	0.894523	0.208796
610	0.180756	0.219110
611	0.773325	0.481864
612	0.734331	0.139925
613	0.190975	0.030805
614	0.895942	0.683031
615	0.579901	0.835411
616	0.492803	0.880455
617	0.611363	0.831099
618	0.176305	0.015179
619	0.427736	0.885825
620	0.554274	0.350346
621	0.255448	0.792087
622	0.437222	0.403929
623	0.594819	0.851925
624	0.735246	0.213383
625	0.117363	0.553346
626	0.128213	0.191866
627	0.390901	0.374908
628	0.232127	0.983115
629	0.112394	0.119611
630	0.064385	0.482114
631	0.224566	0.831335
632	0.567482	0.332641
633	0.251487	0.681136
634	0.225064	0.642655
635	0.143220	0.395840
636	0.395356	0.808223
637	0.391465	0.972434
638	0.417802	0.174209
639	0.101387	0.508862
640	0.691342	0.759731
641	0.351553	0.322061
642	0.555370	0.649094
643	0.690669	0.405765
644	0.950680	0.269439
645	0.130603	0.604523
646	0.338357	0.169819
647	0.240625	0.799839
648	0.560170	0.588856
649	0.094934	0.779799
650	0.123567	0.309678
651	0.376383	0.601699
652	0.656670	0.222604
653	0.039733	0.795847
654	0.123467	0.245383
655	0.242062	0.562190
656	0.642365	0.927142
657	0.045800	0.285856
658	0.430271	0.972996
659	0.313803	0.010598
660	0.010472	0.488611
661	0.401385	0.207620
662	0.857727	0.465813
663	0.231617	0.887982
664	0.362411	0.131551
665	0.105060	0.711865
666	0.993322	0.409532
667	0.787071	0.404594
668	0.366452	0.886777
669	0.709895	0.947369
670	0.754096	0.238109
671	0.700841	0.749623
672	0.160636	0.449885
673	0.740117	0.744206
674	0.378737	0.960950
675	0.255686	0.789787
676	0.245417	0.318693
677	0.754820	0.843891
678	0.605282	0.867621
679	0.247957	0.862823
680	0.295948	0.181915
681	0.851133	0.319641
682	0.260451	0.265502
683	0.935869	0.660437
684	0.136544	0.426389
685	0.027719	0.344355
686	0.727698	0.343693
687	0.232912	0.118398
688	0.988717	0.468483
689	0.728825	0.896364
690	0.049541	0.261036
691	0.961183	0.421826
692	0.312579	0.342630
693	0.280982	0.673170
694	0.724058	0.112747
695	0.378587	0.405769
696	0.200842	0.338045
697	0.478909	0.585369
698	0.794408	0.302910
699	0.202664	0.789209
700	0.690286	0.355131
701	0.304598	0.027641
702	0.735363	0.061844
703	0.673957	0.965312
704	0.745936	0.314301
705	0.837195	0.773220
706	0.326648	0.228997
707	0.639273	0.573453
708	0.119396	0.033981
709	0.468425	0.706237
710	0.858165	0.307542
711	0.980975	0.785672
712	0.752194	0.545181
713	0.110420	0.194701
714	0.141102	0.046751
715	0.266617	0.020352
716	0.165699	0.234230
717	0.509054	0.114868
718	0.100336	0.175630
719	0.850955	0.445067
720	0.473604	0.568336
721	0.828338	0.689471
722	0.847124	0.626199
723	0.048273	0.010244
724	0.442837	0.543362
725	0.100691	0.646077
726	0.314000	0.764231
727	0.340591	0.099765
728	0.333391	0.378565
729	0.614034	0.968838
730	0.422531	0.535476
731	0.640304	0.460323
732	0.794144	0.263646
733	0.503739	0.063112
734	0.976361	0.852188
735	0.945323	0.834324
736	0.476630	0.066759
737	0.268174	0.461569
738	0.099773	0.783375
739	0.437956	0.282102
740	0.989429	0.820708
741	0.667049	0.366907
742	0.407079	0.457584
743	0.397175	0.515922
744	0.288426	0.383355
745	0.145540	0.651117
746	0.883650	0.356558
747	0.770560	0.257800
748	0.360021	0.554625
749	0.151924	0.804107
750	0.240752	0.247071
751	0.905801	0.093934
752	0.692110	0.685501
753	0.371027	0.865027
754	0.754339	0.605682
755	0.655703	0.666424
756	0.111292	0.610213
757	0.938222	0.608971
758	0.433638	0.109925
759	0.051313	0.199128
760	0.318012	0.514460
761	0.491301	0.999452
762	0.890888	0.515593
763	0.608643	0.225717
764	0.117651	0.091830
765	0.251754	0.729369
766	0.477993	0.941899
767	0.774386	0.222662
768	0.894526	0.763481
769	0.337116	0.391829
770	0.457065	0.828698
771	0.549345	0.522681
772	0.126807	0.537859
773	0.554535	0.843535
774	0.018515	0.094196
775	0.518334	0.455762
776	0.699754	0.185245
777	0.738183	0.787073
778	0.982453	0.831825
779	0.481914	0.299209
780	0.465730	0.387843
781	0.707118	0.385022
782	0.182740	0.222937
783	0.483100	0.560850
784	0.585918	0.767064
785	0.212733	0.528066
786	0.045204	0.666302
787	0.629004	0.143409
788	0.387692	0.769371
789	0.300180	0.679068
790	0.733680	0.028599
791	0.022425	0.920937
792	0.378026	0.739296
793	0.734765	0.295701
794	0.780231	0.174023
795	0.142921	0.614464
796	0.044275	0.191879
797	0.693672	0.095334
798	0.949840	0.722218
799	0.796802	0.657176
800	0.941892	0.423629
